time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2014-11-07T01:37:29.000Z,63.4976,-148.9934,14.4,0.3,ml,,,,0.09,ak,ak11435245,2014-11-07T02:41:29.458Z,"11km N of Cantwell, Alaska",earthquake
2014-11-07T01:32:14.400Z,33.6273333,-116.6625,16.14,0.2,ml,16,109,0.05455,0.24,ci,ci37285704,2014-11-07T01:36:41.650Z,"8km N of Anza, California",earthquake
2014-11-07T01:31:59.000Z,62.9229,-150.2787,136.3,1.5,ml,,,,0.37,ak,ak11435246,2014-11-07T02:41:30.348Z,"67km N of Talkeetna, Alaska",earthquake
2014-11-07T01:23:14.030Z,38.9539986,-122.7415009,10.61,1.62,md,10,173,0.057,0.04,nc,nc72336565,2014-11-07T01:39:06.088Z,"6km SE of Soda Bay, California",earthquake
2014-11-07T01:13:35.130Z,36.4363,-97.0748,5,2.6,mb_lg,,49,0.344,0.6,us,usc000sv8k,2014-11-07T09:16:13.659Z,"25km NE of Perry, Oklahoma",earthquake
2014-11-07T01:11:40.400Z,41.869,-119.6035,8.4,2.2,Md,,309.6,0.66475331,0.51,uw,uw60919501,2014-11-07T06:14:46.428Z,"70km ESE of Lakeview, Oregon",earthquake
2014-11-07T01:08:38.280Z,37.4657,-118.7755,8.36,0.17,ml,6,158.98,0.044,,nn,nn00466558,2014-11-07T01:10:29.158Z,"26km SE of Mammoth Lakes, California",earthquake
2014-11-07T01:05:09.560Z,33.2723333,-116.1155,1.1,2.27,ml,58,19,0.1089,0.3,ci,ci37285688,2014-11-07T01:16:17.090Z,"15km W of Salton City, California",earthquake
2014-11-07T00:54:21.000Z,61.6743,-150.5009,55.8,2.6,ml,,,,0.66,ak,ak11435234,2014-11-07T08:56:51.598Z,"25km WSW of Willow, Alaska",earthquake
2014-11-07T00:47:59.000Z,63.2465,-151.2178,0,1.7,ml,,,,0.78,ak,ak11435231,2014-11-07T02:41:30.915Z,"114km W of Cantwell, Alaska",earthquake
2014-11-07T00:39:24.680Z,38.2377,-116.9637,18.89,1.84,ml,11,167.73,1.214,,nn,nn00466546,2014-11-07T00:41:45.773Z,"30km NE of Tonopah, Nevada",earthquake
2014-11-07T00:36:19.460Z,36.1046667,-117.5643333,11.55,0.9,ml,12,170,0.07676,0.25,ci,ci37285672,2014-11-07T00:40:16.260Z,"40km NNW of Searles Valley, California",earthquake
2014-11-07T00:30:30.350Z,33.7098333,-116.826,15.93,1.06,ml,43,35,0.08167,0.21,ci,ci37285664,2014-11-07T00:40:57.270Z,"7km SE of Valle Vista, California",earthquake
